ticker,mentions,bullish_pct,bearish_pct,neutral_pct,sentiment_ratio,weighted_sentiment,avg_confidence
KLAC,12,100.0,0.0,0.0,inf,78.33333333333331,78.33333333333333
DLR,6,100.0,0.0,0.0,inf,77.49999999999999,77.5
UNH,35,100.0,0.0,0.0,inf,77.28571428571428,77.28571428571429
SOY,10,100.0,0.0,0.0,inf,76.99999999999999,77.0
ROOT,17,100.0,0.0,0.0,inf,76.17647058823528,76.17647058823529
VRT,5,100.0,0.0,0.0,inf,76.0,76.0
PHYS,5,100.0,0.0,0.0,inf,76.0,76.0
WFC,7,100.0,0.0,0.0,inf,75.71428571428571,75.71428571428571
USDCN,8,100.0,0.0,0.0,inf,75.625,75.625
TOST,14,100.0,0.0,0.0,inf,75.35714285714286,75.35714285714286
CCJ,5,100.0,0.0,0.0,inf,75.0,75.0
SCHW,8,100.0,0.0,0.0,inf,75.0,75.0
NDX,17,100.0,0.0,0.0,inf,74.70588235294116,74.70588235294117
RDW,14,100.0,0.0,0.0,inf,74.64285714285712,74.64285714285714
MNDY,11,100.0,0.0,0.0,inf,74.54545454545453,74.54545454545455
ANET,34,100.0,0.0,0.0,inf,74.41176470588235,74.41176470588235
MS,7,100.0,0.0,0.0,inf,74.28571428571429,74.28571428571429
REAL,12,100.0,0.0,0.0,inf,74.16666666666667,74.16666666666667
CSGP,6,100.0,0.0,0.0,inf,74.16666666666667,74.16666666666667
PSTG,5,100.0,0.0,0.0,inf,74.0,74.0
BAM,5,100.0,0.0,0.0,inf,74.0,74.0
PG,5,100.0,0.0,0.0,inf,74.0,74.0
IBKR,5,100.0,0.0,0.0,inf,74.0,74.0
WIFEY,5,100.0,0.0,0.0,inf,74.0,74.0
VST,14,100.0,0.0,0.0,inf,73.92857142857142,73.92857142857143
AIRE,12,100.0,0.0,0.0,inf,73.75,73.75
IN,28,100.0,0.0,0.0,inf,73.75,73.75
PROP,16,100.0,0.0,0.0,inf,73.75,73.75
TTWO,16,100.0,0.0,0.0,inf,73.75,73.75
XIACY,8,100.0,0.0,0.0,inf,73.75,73.75
BN,11,100.0,0.0,0.0,inf,73.63636363636363,73.63636363636364
NXT,7,100.0,0.0,0.0,inf,73.57142857142858,73.57142857142857
GRMN,7,100.0,0.0,0.0,inf,73.57142857142857,73.57142857142857
III,6,100.0,0.0,0.0,inf,73.33333333333334,73.33333333333333
SCHD,6,100.0,0.0,0.0,inf,73.33333333333334,73.33333333333333
SFM,5,100.0,0.0,0.0,inf,73.00000000000001,73.0
CL,5,100.0,0.0,0.0,inf,73.00000000000001,73.0
SYK,5,100.0,0.0,0.0,inf,73.00000000000001,73.0
MO,5,100.0,0.0,0.0,inf,73.00000000000001,73.0
XCN,5,100.0,0.0,0.0,inf,72.99999999999999,73.0
AIFU,7,100.0,0.0,0.0,inf,72.85714285714286,72.85714285714286
CRDO,8,100.0,0.0,0.0,inf,72.50000000000001,72.5
CPNG,6,100.0,0.0,0.0,inf,72.50000000000001,72.5
ARPA,6,100.0,0.0,0.0,inf,72.50000000000001,72.5
NVVE,16,100.0,0.0,0.0,inf,72.5,72.5
VEEV,6,100.0,0.0,0.0,inf,72.5,72.5
CNQ,8,100.0,0.0,0.0,inf,72.5,72.5
FTNT,11,100.0,0.0,0.0,inf,72.27272727272728,72.27272727272727
INVZ,16,100.0,0.0,0.0,inf,72.1875,72.1875
GTLB,7,100.0,0.0,0.0,inf,72.14285714285714,72.14285714285714
MRVL,25,100.0,0.0,0.0,inf,72.00000000000001,72.0
RBRK,5,100.0,0.0,0.0,inf,72.00000000000001,72.0
CLMT,5,100.0,0.0,0.0,inf,72.0,72.0
KOALA,5,100.0,0.0,0.0,inf,72.0,72.0
MGK,5,100.0,0.0,0.0,inf,72.0,72.0
LRCX,15,100.0,0.0,0.0,inf,72.0,72.0
GS,15,100.0,0.0,0.0,inf,71.99999999999999,72.0
AXP,8,100.0,0.0,0.0,inf,71.875,71.875
F,8,100.0,0.0,0.0,inf,71.875,71.875
OSCR,80,98.75,1.25,0.0,79.0,71.75000000000004,73.5
FIH,15,100.0,0.0,0.0,inf,71.66666666666667,71.66666666666667
HON,6,100.0,0.0,0.0,inf,71.66666666666667,71.66666666666667
EXPE,12,100.0,0.0,0.0,inf,71.66666666666667,71.66666666666667
RCAT,9,100.0,0.0,0.0,inf,71.66666666666664,71.66666666666667
Z,13,100.0,0.0,0.0,inf,71.53846153846153,71.53846153846153
OSTX,7,100.0,0.0,0.0,inf,71.42857142857143,71.42857142857143
NXL,26,100.0,0.0,0.0,inf,71.34615384615384,71.34615384615384
RNXT,13,100.0,0.0,0.0,inf,71.15384615384616,71.15384615384616
ACHR,26,100.0,0.0,0.0,inf,71.15384615384616,71.15384615384616
RDFN,39,100.0,0.0,0.0,inf,71.02564102564101,71.02564102564102
O,20,95.0,5.0,0.0,19.0,70.99999999999999,78.0
LKNCY,11,100.0,0.0,0.0,inf,70.9090909090909,70.9090909090909
