ticker,signal,strength,weighted_sentiment,bullish_pct,bearish_pct,mentions,avg_confidence
AILE,SELL,Strong,-85.00000000000001,0.0,100.0,8,85.0
GALT,SELL,Strong,-79.0,0.0,100.0,5,79.0
KLAC,BUY,Strong,78.33333333333331,100.0,0.0,12,78.33333333333333
DLR,BUY,Strong,77.49999999999999,100.0,0.0,6,77.5
UNH,BUY,Strong,77.28571428571428,100.0,0.0,35,77.28571428571429
SOY,BUY,Strong,76.99999999999999,100.0,0.0,10,77.0
ROOT,BUY,Strong,76.17647058823528,100.0,0.0,17,76.17647058823529
VRT,BUY,Strong,76.0,100.0,0.0,5,76.0
NKLA,SELL,Strong,-76.0,0.0,100.0,5,76.0
PHYS,BUY,Strong,76.0,100.0,0.0,5,76.0
WFC,BUY,Strong,75.71428571428571,100.0,0.0,7,75.71428571428571
USDCN,BUY,Strong,75.625,100.0,0.0,8,75.625
TOST,BUY,Strong,75.35714285714286,100.0,0.0,14,75.35714285714286
CCJ,BUY,Moderate,75.0,100.0,0.0,5,75.0
SCHW,BUY,Moderate,75.0,100.0,0.0,8,75.0
GDHG,SELL,Moderate,-74.99999999999999,0.0,100.0,17,75.0
NDX,BUY,Moderate,74.70588235294116,100.0,0.0,17,74.70588235294117
RDW,BUY,Moderate,74.64285714285712,100.0,0.0,14,74.64285714285714
MNDY,BUY,Moderate,74.54545454545453,100.0,0.0,11,74.54545454545455
ANET,BUY,Moderate,74.41176470588235,100.0,0.0,34,74.41176470588235
MS,BUY,Moderate,74.28571428571429,100.0,0.0,7,74.28571428571429
ALLK,SELL,Moderate,-74.16666666666667,0.0,100.0,6,74.16666666666667
REAL,BUY,Moderate,74.16666666666667,100.0,0.0,12,74.16666666666667
CSGP,BUY,Moderate,74.16666666666667,100.0,0.0,6,74.16666666666667
BAM,BUY,Moderate,74.0,100.0,0.0,5,74.0
PG,BUY,Moderate,74.0,100.0,0.0,5,74.0
IBKR,BUY,Moderate,74.0,100.0,0.0,5,74.0
WIFEY,BUY,Moderate,74.0,100.0,0.0,5,74.0
PSTG,BUY,Moderate,74.0,100.0,0.0,5,74.0
VST,BUY,Moderate,73.92857142857142,100.0,0.0,14,73.92857142857143
HRMY,SELL,Moderate,-73.82352941176471,0.0,100.0,17,73.82352941176471
IN,BUY,Moderate,73.75,100.0,0.0,28,73.75
AIRE,BUY,Moderate,73.75,100.0,0.0,12,73.75
XIACY,BUY,Moderate,73.75,100.0,0.0,8,73.75
TTWO,BUY,Moderate,73.75,100.0,0.0,16,73.75
PROP,BUY,Moderate,73.75,100.0,0.0,16,73.75
BN,BUY,Moderate,73.63636363636363,100.0,0.0,11,73.63636363636364
NXT,BUY,Moderate,73.57142857142858,100.0,0.0,7,73.57142857142857
GRMN,BUY,Moderate,73.57142857142857,100.0,0.0,7,73.57142857142857
III,BUY,Moderate,73.33333333333334,100.0,0.0,6,73.33333333333333
SCHD,BUY,Moderate,73.33333333333334,100.0,0.0,6,73.33333333333333
CL,BUY,Moderate,73.00000000000001,100.0,0.0,5,73.0
SYK,BUY,Moderate,73.00000000000001,100.0,0.0,5,73.0
MO,BUY,Moderate,73.00000000000001,100.0,0.0,5,73.0
SFM,BUY,Moderate,73.00000000000001,100.0,0.0,5,73.0
AXGN,SELL,Moderate,-73.0,0.0,100.0,5,73.0
MDRX,SELL,Moderate,-73.0,0.0,100.0,5,73.0
XCN,BUY,Moderate,72.99999999999999,100.0,0.0,5,73.0
AIFU,BUY,Moderate,72.85714285714286,100.0,0.0,7,72.85714285714286
ARPA,BUY,Moderate,72.50000000000001,100.0,0.0,6,72.5
CPNG,BUY,Moderate,72.50000000000001,100.0,0.0,6,72.5
CRDO,BUY,Moderate,72.50000000000001,100.0,0.0,8,72.5
VEEV,BUY,Moderate,72.5,100.0,0.0,6,72.5
NVVE,BUY,Moderate,72.5,100.0,0.0,16,72.5
CNQ,BUY,Moderate,72.5,100.0,0.0,8,72.5
FTNT,BUY,Moderate,72.27272727272728,100.0,0.0,11,72.27272727272727
INVZ,BUY,Moderate,72.1875,100.0,0.0,16,72.1875
GTLB,BUY,Moderate,72.14285714285714,100.0,0.0,7,72.14285714285714
MRVL,BUY,Moderate,72.00000000000001,100.0,0.0,25,72.0
RBRK,BUY,Moderate,72.00000000000001,100.0,0.0,5,72.0
CLMT,BUY,Moderate,72.0,100.0,0.0,5,72.0
KOALA,BUY,Moderate,72.0,100.0,0.0,5,72.0
MGK,BUY,Moderate,72.0,100.0,0.0,5,72.0
LRCX,BUY,Moderate,72.0,100.0,0.0,15,72.0
GS,BUY,Moderate,71.99999999999999,100.0,0.0,15,72.0
F,BUY,Moderate,71.875,100.0,0.0,8,71.875
AXP,BUY,Moderate,71.875,100.0,0.0,8,71.875
TMSNY,SELL,Moderate,-71.81818181818183,0.0,100.0,11,71.81818181818181
TEMN,SELL,Moderate,-71.81818181818183,0.0,100.0,11,71.81818181818181
OSCR,BUY,Moderate,71.75000000000004,98.75,1.25,80,73.5
FIH,BUY,Moderate,71.66666666666667,100.0,0.0,15,71.66666666666667
HON,BUY,Moderate,71.66666666666667,100.0,0.0,6,71.66666666666667
EXPE,BUY,Moderate,71.66666666666667,100.0,0.0,12,71.66666666666667
RCAT,BUY,Moderate,71.66666666666664,100.0,0.0,9,71.66666666666667
Z,BUY,Moderate,71.53846153846153,100.0,0.0,13,71.53846153846153
OSTX,BUY,Moderate,71.42857142857143,100.0,0.0,7,71.42857142857143
SI,SELL,Moderate,-71.42857142857143,0.0,100.0,7,71.42857142857143
NXL,BUY,Moderate,71.34615384615384,100.0,0.0,26,71.34615384615384
ACHR,BUY,Moderate,71.15384615384616,100.0,0.0,26,71.15384615384616
RNXT,BUY,Moderate,71.15384615384616,100.0,0.0,13,71.15384615384616
RDFN,BUY,Moderate,71.02564102564101,100.0,0.0,39,71.02564102564102
O,BUY,Moderate,70.99999999999999,95.0,5.0,20,78.0
LKNCY,BUY,Moderate,70.9090909090909,100.0,0.0,11,70.9090909090909
ISRG,BUY,Moderate,70.74074074074075,96.29629629629629,3.7037037037037033,27,75.18518518518519
JNJ,BUY,Moderate,70.625,100.0,0.0,8,70.625
MSCI,BUY,Moderate,70.625,100.0,0.0,8,70.625
ALGS,BUY,Moderate,70.46448087431698,98.90710382513662,1.092896174863388,183,71.77595628415301
LTC,BUY,Moderate,70.17241379310349,96.55172413793103,3.4482758620689653,29,74.65517241379311
RVPH,BUY,Moderate,70.0,100.0,0.0,13,70.0
SYM,BUY,Moderate,70.0,100.0,0.0,5,70.0
REAX,BUY,Moderate,70.0,100.0,0.0,5,70.0
NEM,BUY,Moderate,70.0,100.0,0.0,5,70.0
RKT,BUY,Moderate,70.0,100.0,0.0,7,70.0
RUN,BUY,Moderate,69.99999999999999,100.0,0.0,6,70.0
PTON,BUY,Moderate,69.73684210526315,100.0,0.0,19,69.73684210526316
MBLY,BUY,Moderate,69.625,97.5,2.5,40,72.875
HUT,BUY,Moderate,69.44444444444446,100.0,0.0,9,69.44444444444444
NET,BUY,Moderate,69.25,97.5,2.5,40,73.25
POET,BUY,Moderate,69.16666666666667,100.0,0.0,6,69.16666666666667
RR,BUY,Moderate,69.16666666666666,100.0,0.0,6,69.16666666666667
TRT,BUY,Moderate,69.16666666666666,100.0,0.0,6,69.16666666666667
BP,BUY,Moderate,69.16666666666666,100.0,0.0,6,69.16666666666667
IRBT,BUY,Moderate,69.00000000000003,99.375,0.625,160,69.625
SPA,BUY,Moderate,69.0,100.0,0.0,5,69.0
RILY,BUY,Moderate,69.0,100.0,0.0,5,69.0
BIVI,BUY,Moderate,68.86363636363635,100.0,0.0,22,68.86363636363636
IREN,BUY,Moderate,68.75,100.0,0.0,12,68.75
BROS,BUY,Moderate,68.75,100.0,0.0,8,68.75
JPM,BUY,Moderate,68.61111111111111,94.44444444444444,5.555555555555555,18,76.38888888888889
BILL,BUY,Moderate,68.57142857142857,100.0,0.0,7,68.57142857142857
NVRO,SELL,Moderate,-68.33333333333333,5.555555555555555,94.44444444444444,18,75.0
DOUG,BUY,Moderate,68.33333333333333,100.0,0.0,6,68.33333333333333
HTLD,BUY,Moderate,68.33333333333333,100.0,0.0,9,68.33333333333333
CORZ,BUY,Moderate,68.30000000000001,96.0,4.0,50,73.7
PAGS,BUY,Moderate,68.0,100.0,0.0,5,68.0
NRDY,BUY,Moderate,68.0,100.0,0.0,5,68.0
JOE,BUY,Moderate,68.0,100.0,0.0,5,68.0
EC,BUY,Moderate,67.85714285714286,100.0,0.0,7,67.85714285714286
TEM,BUY,Moderate,67.84482758620692,98.27586206896551,1.7241379310344827,58,70.08620689655173
MELI,BUY,Moderate,67.60273972602742,94.52054794520548,5.47945205479452,73,75.0
CLDI,BUY,Moderate,67.43243243243244,100.0,0.0,37,67.43243243243244
DDOG,BUY,Moderate,67.36842105263159,97.36842105263158,2.631578947368421,38,70.78947368421052
RIG,BUY,Moderate,67.14285714285714,100.0,0.0,7,67.14285714285714
BTU,BUY,Moderate,67.14285714285714,100.0,0.0,7,67.14285714285714
JMIA,BUY,Moderate,67.0,100.0,0.0,5,67.0
FFH,BUY,Moderate,66.95652173913042,95.65217391304348,4.3478260869565215,23,71.30434782608695
JD,BUY,Moderate,66.73076923076923,96.15384615384616,3.8461538461538463,182,71.73076923076923
BB,BUY,Moderate,66.29032258064518,96.7741935483871,3.225806451612903,31,70.16129032258064
HOOD,BUY,Moderate,66.17537313432827,94.40298507462687,5.223880597014925,268,73.19029850746269
LFST,SELL,Moderate,-65.76923076923076,0.0,100.0,13,65.76923076923077
SPHR,BUY,Moderate,65.72222222222224,94.44444444444444,5.555555555555555,90,72.5
XYZ,BUY,Moderate,65.66666666666666,93.33333333333333,6.666666666666667,15,74.33333333333333
MSS,SELL,Moderate,-65.625,0.0,100.0,8,65.625
ABNB,BUY,Moderate,65.45454545454544,95.45454545454545,4.545454545454546,44,71.36363636363636
ZS,BUY,Moderate,65.31249999999999,93.75,6.25,16,72.8125
GEO,BUY,Moderate,65.00000000000001,100.0,0.0,5,65.0
SIVB,SELL,Moderate,-65.0,0.0,100.0,6,65.0
RXRX,BUY,Moderate,65.0,100.0,0.0,9,65.0
FUBO,BUY,Moderate,64.99999999999999,100.0,0.0,9,65.0
WULF,BUY,Moderate,64.99999999999999,95.23809523809523,4.761904761904762,21,71.66666666666667
NU,BUY,Moderate,64.32000000000005,92.80000000000001,7.199999999999999,125,74.08
TWST,SELL,Moderate,-64.25925925925927,7.4074074074074066,92.5925925925926,27,76.11111111111111
NNOX,BUY,Moderate,64.16666666666667,100.0,0.0,6,64.16666666666667
XPEV,BUY,Moderate,64.03846153846155,92.3076923076923,7.6923076923076925,26,74.42307692307692
LPP,SELL,Moderate,-64.0,0.0,100.0,5,64.0
BLI,SELL,Moderate,-63.84615384615384,7.6923076923076925,92.3076923076923,13,71.53846153846153
TIO,SELL,Moderate,-63.82352941176469,5.88235294117647,94.11764705882352,17,72.05882352941177
HIMS,BUY,Moderate,63.77591463414627,93.4451219512195,6.402439024390244,656,72.14481707317073
OKLO,BUY,Moderate,63.45454545454544,92.72727272727272,7.2727272727272725,55,72.18181818181819
AMAT,BUY,Moderate,63.33333333333333,88.88888888888889,11.11111111111111,9,76.66666666666667
ADYEN,BUY,Moderate,63.33333333333333,91.66666666666666,8.333333333333332,12,75.0
DOCS,BUY,Moderate,63.23529411764706,94.11764705882352,5.88235294117647,17,72.05882352941177
BIDU,BUY,Moderate,63.188405797101446,92.7536231884058,7.246376811594203,138,72.3913043478261
YINN,BUY,Moderate,63.18181818181819,90.9090909090909,9.090909090909092,11,76.81818181818181
P,BUY,Moderate,62.727272727272734,90.9090909090909,9.090909090909092,11,76.36363636363636
BYDDF,BUY,Moderate,62.69230769230768,92.3076923076923,7.6923076923076925,26,72.6923076923077
SERV,BUY,Moderate,62.499999999999986,95.0,5.0,20,69.0
V,BUY,Moderate,62.41379310344827,93.10344827586206,6.896551724137931,29,71.03448275862068
AXON,BUY,Moderate,62.375,92.5,7.5,40,72.625
AFRM,BUY,Moderate,62.36486486486488,93.24324324324324,6.756756756756757,74,71.55405405405405
KWEB,BUY,Moderate,62.250000000000014,92.5,7.5,120,71.75
TCEHY,BUY,Moderate,62.14285714285713,92.85714285714286,7.142857142857142,14,72.14285714285714
CGC,BUY,Moderate,61.81818181818181,90.9090909090909,9.090909090909092,11,72.72727272727273
NOW,BUY,Moderate,61.71428571428569,91.42857142857143,8.571428571428571,35,72.28571428571429
COST,BUY,Moderate,61.31578947368419,92.10526315789474,7.894736842105263,38,70.78947368421052
RIVN,BUY,Moderate,61.31410256410259,91.66666666666666,8.333333333333332,156,72.21153846153847
