user,tweet_count,bullish_pct,bearish_pct,consistency,avg_confidence,most_mentioned_tickers
Banana3Stocks,658,98.48024316109422,1.5197568389057752,98.48024316109422,70.22036474164133,"ALGS,IRBT,QQQ"
ScorpionFund,155,5.161290322580645,94.83870967741936,94.83870967741936,72.7741935483871,"TWST,NVRO,HRMY"
ZaStocks,548,94.34306569343066,5.656934306569343,94.34306569343066,72.0529197080292,"TSLA,PLTR,BTC"
Tech_Investor20,325,94.15384615384616,5.846153846153846,94.15384615384616,72.43692307692308,"HIMS,SMCI,PLTR"
CompoundinGirl,505,94.05940594059405,5.9405940594059405,94.05940594059405,69.02970297029702,"BABA,PDD,JD"
HindenburgRes,580,7.06896551724138,92.93103448275862,92.93103448275862,67.6896551724138,"SQ,IEP,FRHC"
BullTradeFinder,571,90.89316987740806,8.93169877408056,90.89316987740806,71.66374781085814,"HIMS,RIVN,QQQ"
thexcapitalist,394,90.60913705583756,9.390862944162437,90.60913705583756,75.0761421319797,"AMZN,GOOG,AMD"
TheLongInvest,561,88.23529411764706,11.76470588235294,88.23529411764706,70.02673796791444,"HIMS,BABA,NVDA"
kintsugiinvest,58,87.93103448275862,12.068965517241379,87.93103448275862,71.12068965517241,"MSFT,TSLA,AMZN"
iamritalawrence,700,87.85714285714286,12.142857142857142,87.85714285714286,68.22142857142858,"SMCI,SPY,PLTR"
hftquant_,330,86.96969696969697,13.030303030303031,86.96969696969697,71.03030303030303,"SPY,ES,SPX"
mind1nvestor,660,86.36363636363636,13.636363636363635,86.36363636363636,71.39393939393939,"HIMS,TMDX,ASTS"
amitisinvesting,513,86.15984405458089,13.64522417153996,86.15984405458089,71.11695906432749,"PLTR,HOOD,TSLA"
CalebFranzen,458,85.58951965065502,14.41048034934498,85.58951965065502,69.07423580786026,"BTC,SPY,TRUMP"
laurenbalik,228,14.912280701754385,85.08771929824562,85.08771929824562,66.25,"ZETA,APP,SNOW"
ftr_investors,428,85.04672897196261,14.953271028037381,85.04672897196261,71.83411214953271,"NVDA,EPS,MSFT"
investmattallen,172,84.88372093023256,15.11627906976744,84.88372093023256,69.97093023255815,"OKLO,RKLB,MARA"
BarrySchwartzBW,206,84.46601941747572,15.53398058252427,84.46601941747572,69.07766990291262,"AAPL,ATD,AMZN"
The_RockTrading,476,84.45378151260505,15.546218487394958,84.45378151260505,67.06932773109244,"NVDA,TRTCH,TSLA"
Jake__Wujastyk,91,82.41758241758241,17.582417582417584,82.41758241758241,69.01098901098901,"B,CELH,BTCUS"
WifeyAlpha,215,82.32558139534883,17.674418604651162,82.32558139534883,68.20930232558139,"ES,VIX,UX"
KevinLMak,371,80.86253369272237,19.137466307277627,80.86253369272237,70.82210242587601,"SPHR,PGY,ASTS"
burrytracker,237,78.90295358649789,21.09704641350211,78.90295358649789,71.32911392405063,"BABA,JD,BIDU"
SFarringtonBKC,184,78.26086956521739,21.195652173913043,78.26086956521739,64.86413043478261,"SPRY,FWRD,EQX"
dannycheng2022,46,78.26086956521739,21.73913043478261,78.26086956521739,71.73913043478261,"PLTR,BB,HOOD"
GarciaCap,295,77.62711864406779,22.372881355932204,77.62711864406779,68.98305084745763,"PLTR,RKLB,AMD"
